datetime,dailyid,dayofweek,os,home_countryname,plmn,plmn_countryname,setting_currency,setting_language,setting_country,logtype_category,logtype_subcategory,accuracy,speed,estimated_speed_flag,course,estimated_course_flag,prefcode,citycode,mesh100mid,home_prefcode,home_citycode,workplace_prefcode,workplace_citycode,transportation_type,gender,longitude,latitude,previous_datetime,previous_interval_s,next_interval_s,distance_m,speed_calc_kmh,mesh1kmid,state
2018/10/02 3:53:00,f9bf9e12c2ecc7103652e744cdad3c35fd8ebcb0d7f84d8b098dca8e170fe9f4c695f14b075d89faf377cc237e9f838b,2,Android,Japan,44010,Japan,,ja,,,,53.421,0.034,2,,,37,37201,5134400433,34,34107,39,39201,,m,134.054566,34.336288,2018/10/02 3:46:00,420,-600,14.44135468,0.1237830401,51344004,Stay
2018/10/02 3:30:00,f9bf9e12c2ecc7103652e744cdad3c35fd8ebcb0d7f84d8b098dca8e170fe9f4c695f14b075d89faf377cc237e9f838b,2,Android,Japan,44010,Japan,,ja,,,,56.011,0.09,2,137.155,2,37,37201,5134400433,34,34107,39,39201,,m,134.05446,34.336341,2018/10/02 3:20:00,600,-300,27.29053485,0.1637432091,51344004,Stay
2018/10/02 3:01:00,f9bf9e12c2ecc7103652e744cdad3c35fd8ebcb0d7f84d8b098dca8e170fe9f4c695f14b075d89faf377cc237e9f838b,2,Android,Japan,44010,Japan,,ja,,,,29.54,0.095,2,,,37,37201,5134400433,34,34107,39,39201,,m,134.054287,34.336104,2018/10/02 2:51:00,600,-300,29.37442902,0.1762465741,51344004,Stay
2018/10/02 3:35:00,f9bf9e12c2ecc7103652e744cdad3c35fd8ebcb0d7f84d8b098dca8e170fe9f4c695f14b075d89faf377cc237e9f838b,2,Android,Japan,44010,Japan,,ja,,,,16.584,0.062,2,,,37,37201,5134400433,34,34107,39,39201,,m,134.054584,34.336207,2018/10/02 3:30:00,300,-660,18.75215861,0.2250259034,51344004,Stay
2018/10/02 3:06:00,f9bf9e12c2ecc7103652e744cdad3c35fd8ebcb0d7f84d8b098dca8e170fe9f4c695f14b075d89faf377cc237e9f838b,2,Android,Japan,44010,Japan,,ja,,,,29.54,0,2,,,37,37201,5134400433,34,34107,39,39201,,m,134.054287,34.336104,2018/10/02 3:01:00,300,-660,0,0,51344004,Stay
2018/10/02 3:17:00,f9bf9e12c2ecc7103652e744cdad3c35fd8ebcb0d7f84d8b098dca8e170fe9f4c695f14b075d89faf377cc237e9f838b,2,Android,Japan,44010,Japan,,ja,,,,51.487,0,2,152.018,2,37,37201,5134400433,34,34107,39,39201,,m,134.05451,34.336232,2018/10/02 3:06:00,660,-180,24.93641426,0.1360168051,51344004,Stay
2018/10/02 3:20:00,f9bf9e12c2ecc7103652e744cdad3c35fd8ebcb0d7f84d8b098dca8e170fe9f4c695f14b075d89faf377cc237e9f838b,2,Android,Japan,44010,Japan,,ja,,,,14.837,0.08,2,,,37,37201,5134400433,34,34107,39,39201,,m,134.054573,34.336114,2018/10/02 3:17:00,180,-600,14.33954037,0.2867908075,51344004,Stay
2018/10/02 3:46:00,f9bf9e12c2ecc7103652e744cdad3c35fd8ebcb0d7f84d8b098dca8e170fe9f4c695f14b075d89faf377cc237e9f838b,2,Android,Japan,44010,Japan,,ja,,,,50.06,0.098,2,332.035,2,37,37201,5134400433,34,34107,39,39201,,m,134.054629,34.336169,2018/10/02 3:35:00,660,-420,5.909835665,0.03223546726,51344004,Stay
2018/10/02 3:54:00,ef1fd4baa1cfd202573184354108dfe4a821452f5a20fc281f83cdc924568b439aa96e702847bc21ff4ab6e2818d4248,2,Android,Japan,44051,Japan,,ja,,,,15.008,0,2,311.388,2,37,37201,5134309605,37,37201,37,37201,,f,134.081439,34.325097,2018/10/02 3:44:00,600,-300,0,0,51343096,Stay
2018/10/02 3:39:00,ef1fd4baa1cfd202573184354108dfe4a821452f5a20fc281f83cdc924568b439aa96e702847bc21ff4ab6e2818d4248,2,Android,Japan,44051,Japan,,ja,,,,13.79,0,2,132.605,2,37,37201,5134309605,37,37201,37,37201,,f,134.081409,34.325126,2018/10/02 3:29:00,600,-300,0,0,51343096,Stay
